country,population,density,median_age,urban_pop
Afghanistan,38928346,60,18,0.25
Albania,2877797,105,36,0.63
Algeria,43851044,18,29,0.73
Andorra,77265,164,0,0.88
Angola,32866272,26,17,0.67
Antigua and Barbuda,97929,223,34,0.26
Argentina,45195774,17,32,0.93
Armenia,2963243,104,35,0.63
Australia,25499884,3,38,0.86
Austria,9006398,109,43,0.57
Azerbaijan,10139177,123,32,0.56
Bahamas,393244,39,32,0.86
Bahrain,1701575,2.24,32,0.89
Bangladesh,164689383,1.27,28,0.39
Barbados,287375,668,40,0.31
Belarus,9449323,47,40,0.79
Belgium,11589623,383,42,0.98
Belize,397628,17,25,0.46
Benin,12123200,108,19,0.48
Bhutan,771608,20,28,0.46
Bolivia,11673021,11,26,0.69
Bosnia and Herzegovina,3280819,64,43,0.52
Botswana,2351627,4,24,0.73
Brazil,212559417,25,33,0.88
Brunei,437479,83,32,0.8
Bulgaria,6948445,64,45,0.76
Burkina Faso,20903273,76,18,0.31
Burma,54409800,83,29,0.31
Burundi,11890784,463,17,0.14
Cabo Verde,555987,138,28,0.68
Cambodia,16718965,95,26,0.24
Cameroon,26545863,56,19,0.56
Canada,37742154,4,41,0.81
Central African Republic,4829767,8,18,0.43
Chad,16425864,13,17,0.23
Chile,19116201,26,35,0.85
China,1439323776,153,38,0.61
Colombia,50882891,46,31,0.8
Comoros,869601,467,20,0.29
Congo (Brazzaville),5518087,16,19,0.7
Congo (Kinshasa),89561403,40,17,0.46
Costa Rica,5094118,100,33,0.8
Cote d'Ivoire,26378274,83,19,0.51
Croatia,4105267,73,44,0.58
Cuba,11326616,106,42,0.78
Cyprus,1207359,131,37,0.67
Czech Republic,10708981,139,43,0.74
Denmark,5792202,137,42,0.88
Djibouti,988000,43,27,0.79
Diamond Princess,3711,0,0,0
Dominica,71986,96,0,0.74
Dominican Republic,10847910,225,28,0.85
Ecuador,17643054,71,28,0.63
Egypt,102334404,103,25,0.43
El Salvador,6486205,313,28,0.73
Equatorial Guinea,1402985,50,22,0.73
Eritrea,3546421,35,19,0.63
Estonia,1326535,31,42,0.68
Eswatini,1160164,67,21,0.3
Ethiopia,114963588,115,19,0.21
Fiji,896445,49,28,0.59
Finland,5540720,18,43,0.86
France,65273511,119,42,0.82
Gabon,2225734,9,23,0.87
Gambia,2416668,239,18,0.59
Georgia,3989167,57,38,0.58
Germany,83783942,240,46,0.76
Ghana,31072940,137,22,0.57
Greece,10423054,81,46,0.85
Grenada,112523,331,32,0.35
Guatemala,17915568,167,23,0.52
Guinea,13132795,53,18,0.39
Guinea-Bissau,1968001,70,19,0.45
Guyana,786552,4,27,0.27
Haiti,11402528,414,24,0.57
Holy See,801,2,0,0
Honduras,9904607,89,24,0.57
Hungary,9660351,107,43,0.72
Iceland,341243,3,37,0.94
India,1380004385,464,28,0.35
Indonesia,273523615,151,30,0.56
